ipo_id,company_name,symbol,sector,issue_open_date,issue_close_date,allotment_date,listing_date,first_trading_date,total_issue_shares,general_public_shares,issue_price,face_value,issue_premium,valid_applications,applied_shares,first_day_open,first_day_high,first_day_low,first_day_close,first_day_ltp,net_worth_per_share,eps,book_value_per_share,casba_fee,annual_account_cost,risk_free_rate,capital_lock_days
11,Mandu Hydropower,MANDU,Hydro Power,2023-09-10,2023-09-13,2023-09-20,2023-09-29,2023-09-30,1205320,1205320,206.0,100,106.0,965890,10205000,320.0,320.0,320.0,320.0,320.0,148.0,16.0,148.0,15,150,0.06,15
12,Citizen Life Insurance,CLI,Life Insurance,2023-09-01,2023-09-05,2023-09-12,2023-09-22,2023-09-23,9000000,9000000,244.0,100,144.0,1465890,16205000,360.0,360.0,350.0,350.0,350.0,135.0,13.0,135.0,15,150,0.06,15
13,Nepaolin Life Insurance,NLI,Life Insurance,2022-04-12,2022-04-15,2022-04-20,2022-05-02,2022-05-03,2000000,2000000,100.0,100,0.0,1865890,20205000,280.0,280.0,280.0,280.0,280.0,110.0,8.0,110.0,15,150,0.06,15
14,Balephi Hydropower,BHL,Hydro Power,2022-03-30,2022-04-04,2022-04-10,2022-04-22,2022-04-23,1827970,1827970,100.0,100,0.0,2065890,24205000,260.0,260.0,260.0,260.0,260.0,101.0,3.0,101.0,15,150,0.06,15
15,Green Ventures,GVL,Hydro Power,2022-03-22,2022-03-25,2022-04-01,2022-04-12,2022-04-13,3125000,3125000,100.0,100,0.0,2165890,25205000,280.0,280.0,280.0,280.0,280.0,102.0,4.0,102.0,15,150,0.06,15
16,Jalpa Samudayik Laghubitta,JALPA,Microfinance,2022-02-04,2022-02-08,2022-02-15,2022-02-25,2022-02-26,522000,522000,100.0,100,0.0,2665890,29205000,300.0,300.0,300.0,300.0,300.0,115.0,25.0,115.0,15,150,0.06,15
17,Upakar Laghubitta,ULBSL,Microfinance,2022-03-25,2022-03-29,2022-04-05,2022-04-15,2022-04-16,236250,236250,100.0,100,0.0,2465890,26205000,300.0,300.0,300.0,300.0,300.0,120.0,30.0,120.0,15,150,0.06,15
18,Emerging Nepal,ENL,Investment,2022-02-09,2022-02-13,2022-02-20,2022-03-01,2022-03-02,555600,555600,100.0,100,0.0,2365890,25205000,280.0,280.0,280.0,280.0,280.0,105.0,5.0,105.0,15,150,0.06,15
19,Singati Hydro Energy,SHEL,Hydro Power,2021-03-19,2021-03-23,2021-04-02,2021-04-15,2021-04-16,2900000,2900000,100.0,100,0.0,1625890,19205000,300.0,300.0,300.0,300.0,300.0,101.0,2.0,101.0,15,150,0.06,15
20,Ru Ru Jalbidhyut Pariyojana,RURU,Hydro Power,2021-04-02,2021-04-06,2021-04-16,2021-04-26,2021-04-27,407706,407706,120.0,100,20.0,1665890,20205000,350.0,350.0,350.0,350.0,350.0,118.0,10.0,118.0,15,150,0.06,15
21,Women Laghubitta,WNLB,Microfinance,2021-02-12,2021-02-16,2021-02-26,2021-03-08,2021-03-09,400000,400000,100.0,100,0.0,1565890,18205000,300.0,300.0,300.0,300.0,300.0,110.0,20.0,110.0,15,150,0.06,15
22,Jyoti Life Insurance,JLI,Life Insurance,2021-03-05,2021-03-10,2021-03-19,2021-03-30,2021-03-31,6600000,6600000,100.0,100,0.0,1865890,22205000,300.0,300.0,300.0,300.0,300.0,115.0,10.0,115.0,15,150,0.06,15
23,Prabhu Life Insurance,PLI,Life Insurance,2020-12-14,2020-12-17,2020-12-25,2021-01-05,2021-01-06,6000000,6000000,100.0,100,0.0,1065890,13205000,300.0,300.0,300.0,300.0,300.0,108.0,6.0,108.0,15,150,0.06,15
24,Chandragiri Hills,CGH,Hotels And Tourism,2021-01-08,2021-01-12,2021-01-22,2021-02-02,2021-02-03,1534091,1534091,100.0,100,0.0,1265890,15205000,280.0,280.0,280.0,280.0,280.0,95.0,0.0,95.0,15,150,0.06,15
25,NIFRA,NIFRA,Investment,2021-01-15,2021-01-19,2021-01-29,2021-02-10,2021-02-11,80000000,80000000,100.0,100,0.0,1465890,162050000,300.0,300.0,300.0,300.0,300.0,113.0,10.0,113.0,15,150,0.06,15
26,Reliance Life Insurance,RLI,Life Insurance,2020-08-20,2020-08-24,2020-09-02,2020-09-15,2020-09-16,6300000,6300000,100.0,100,0.0,565890,9205000,300.0,300.0,300.0,300.0,300.0,106.0,5.0,106.0,15,150,0.06,15
27,Samaj Laghubitta,SAMAJ,Microfinance,2020-08-20,2020-08-24,2020-09-02,2020-09-20,2020-09-21,86000,86000,100.0,100,0.0,565890,9205000,300.0,300.0,300.0,300.0,300.0,115.0,20.0,115.0,15,150,0.06,15
28,Ajod Insurance,AIL,Non-Life Insurance,2020-06-25,2020-06-29,2020-07-08,2020-07-20,2020-07-21,3000000,3000000,100.0,100,0.0,465890,7205000,300.0,300.0,300.0,300.0,300.0,105.0,8.0,105.0,15,150,0.06,15
29,Sadhana Laghubitta,SDLBSL,Microfinance,2020-07-05,2020-07-08,2020-07-16,2020-07-25,2020-07-26,707800,707800,100.0,100,0.0,455890,7105000,300.0,300.0,300.0,300.0,300.0,110.0,15.0,110.0,15,150,0.06,15
30,NIC Asia Laghubitta,NICLBSL,Microfinance,2020-06-24,2020-06-28,2020-07-04,2020-07-15,2020-07-16,4755000,4755000,100.0,100,0.0,415890,6505000,300.0,300.0,300.0,300.0,300.0,108.0,18.0,108.0,15,150,0.06,15
